id,condition,treatment ,medium,area
1,CTRL,CTRL MI,MI,0.584399458
2,CTRL,CTRL MI,MI,0.584399458
3,CTRL,CTRL MI,MI,0.567184495
4,CTRL,CTRL MI,MI,0.664907081
5,CTRL,CTRL MI,MI,0.721564455
6,CTRL,CTRL MI,MI,0.533656123
7,CTRL,CTRL MI,MI,0.610704452
8,CTRL,CTRL MI,MI,0.584399458
9,CTRL,CTRL MI,MI,0.683535513
10,CTRL,CTRL MI,MI,0.575759807
11,CTRL,CTRL MI,MI,0.692946238
12,CTRL,CTRL MI,MI,0.601871781
13,CTRL,CTRL MI,MI,0.664907081
14,CTRL,CTRL MI,MI,0.664907081
15,CTRL,CTRL MI,MI,0.584399458
16,CTRL,CTRL MI,MI,0.664907081
17,CTRL,CTRL MIF,MIF,0.029834212
18,CTRL,CTRL MIF,MIF,0.030171926
19,CTRL,CTRL MIF,MIF,0.019507577
20,CTRL,CTRL MIF,MIF,0.05131125
21,CTRL,CTRL MIF,MIF,0.021694664
22,CTRL,CTRL MIF,MIF,0.026359783
23,CTRL,CTRL MIF,MIF,0.021720779
24,CTRL,CTRL MIF,MIF,0.020081115
25,CTRL,CTRL MIF,MIF,0.01552607
26,CTRL,CTRL MIF,MIF,0.011979117
27,CTRL,CTRL MIF,MIF,0.046300775
28,CTRL,CTRL MIF,MIF,0.005423666
29,CTRL,CTRL MIF,MIF,0.048773843
30,CTRL,CTRL MIF,MIF,0.016240847
31,CTRL,CTRL MIF,MIF,0.034933657
32,CTRL,CTRL MIF,MIF,0.02613007
33,W,KCl,MIF,0.226232027
34,W,KCl,MIF,0.166262905
35,W,KCl,MIF,0.226232027
36,W,KCl,MIF,0.21829395
37,W,KCl,MIF,0.152676113
38,W,KCl,MIF,0.180428756
39,W,KCl,MIF,0.259763204
40,W,KCl,MIF,0.148275862
41,W,KCl,MIF,0.242795414
42,W,KCl,MIF,0.152745377
43,W,KCl,MIF,0.195095371
44,W,KCl,MIF,0.187652041
45,W,KCl,MIF,0.159397126
46,W,KCl,MIF,0.166262905
47,W,KCl,MIF,0.166335185
48,W,KCl,MIF,0.195095371
49,NW,KCl,MIF,0.133381662
50,NW,KCl,MIF,0.078625577
51,NW,KCl,MIF,0.195095371
52,NW,KCl,MIF,0.034933657
53,NW,KCl,MIF,0.248328785
54,NW,KCl,MIF,0.157140704
55,NW,KCl,MIF,0.13546115
56,NW,KCl,MIF,0.180353475
57,NW,KCl,MIF,0.157140704
58,NW,KCl,MIF,0.161669634
59,NW,KCl,MIF,0.148275862
60,NW,KCl,MIF,0.135526393
61,NW,KCl,MIF,0.127302941
62,NW,KCl,MIF,0.185203101
63,NW,KCl,MIF,0.093536435
64,NW,KCl,MIF,0.157140704
