id,condition,treatment ,medium,area
1,CTRL,CTRL YPD,YPD,0.255266003
2,CTRL,CTRL YPD,YPD,0.272379241
3,CTRL,CTRL YPD,YPD,0.230807391
4,CTRL,CTRL YPD,YPD,0.215158414
5,CTRL,CTRL YPD,YPD,0.263662204
6,CTRL,CTRL YPD,YPD,0.272379241
7,CTRL,CTRL YPD,YPD,0.230807391
8,CTRL,CTRL YPD,YPD,0.246917578
9,CTRL,CTRL YPD,YPD,0.271085719
10,CTRL,CTRL YPD,YPD,0.306208108
11,CTRL,CTRL YPD,YPD,0.266125258
12,CTRL,CTRL YPD,YPD,0.285767978
13,CTRL,CTRL YPD,YPD,0.338192015
14,CTRL,CTRL YPD,YPD,0.258139688
15,CTRL,CTRL YPD,YPD,0.338295099
16,CTRL,CTRL YPD,YPD,0.296671624
17,CTRL,CTRL MI,MI,0.424061839
18,CTRL,CTRL MI,MI,0.367131845
19,CTRL,CTRL MI,MI,0.431481041
20,CTRL,CTRL MI,MI,0.416821401
21,CTRL,CTRL MI,MI,0.485093521
22,CTRL,CTRL MI,MI,0.367131845
23,CTRL,CTRL MI,MI,0.438964584
24,CTRL,CTRL MI,MI,0.416706976
25,CTRL,CTRL MI,MI,0.575759807
26,CTRL,CTRL MI,MI,0.525401506
27,CTRL,CTRL MI,MI,0.461801251
28,CTRL,CTRL MI,MI,0.517211229
29,CTRL,CTRL MI,MI,0.501023695
30,CTRL,CTRL MI,MI,0.477347396
31,CTRL,CTRL MI,MI,0.525401506
32,CTRL,CTRL MI,MI,0.501023695
33,CTRL,CTRL MIF,MIF,0.446512466
34,CTRL,CTRL MIF,MIF,0.461801251
35,CTRL,CTRL MIF,MIF,0.351304268
36,CTRL,CTRL MIF,MIF,0.374037333
37,CTRL,CTRL MIF,MIF,0.40703827
38,CTRL,CTRL MIF,MIF,0.351304268
39,CTRL,CTRL MIF,MIF,0.451619836
40,CTRL,CTRL MIF,MIF,0.402302685
41,CTRL,CTRL MIF,MIF,0.610704452
42,CTRL,CTRL MIF,MIF,0.521554303
43,CTRL,CTRL MIF,MIF,0.485093521
44,CTRL,CTRL MIF,MIF,0.610704452
45,CTRL,CTRL MIF,MIF,0.521426306
46,CTRL,CTRL MIF,MIF,0.521298325
47,CTRL,CTRL MIF,MIF,0.473436732
48,CTRL,CTRL MIF,MIF,0.624074096
49,W,KCl 0.25,YPD,0.182088903
50,W,KCl 0.25,YPD,0.172831048
51,W,KCl 0.25,YPD,0.172831048
52,W,KCl 0.25,YPD,0.172831048
53,W,KCl 0.25,YPD,0.322806634
54,W,KCl 0.25,YPD,0.373062361
55,W,KCl 0.25,YPD,0.323008073
56,W,KCl 0.25,YPD,0.306895058
57,W,KCl 0.25,YPD,0.4417875
58,W,KCl 0.25,YPD,0.498767964
59,W,KCl 0.25,YPD,0.460597547
60,W,KCl 0.25,YPD,0.47930876
61,W,KCl 0.25,YPD,0.28671627
62,W,KCl 0.25,YPD,0.32755707
63,W,KCl 0.25,YPD,0.276930815
64,W,KCl 0.25,YPD,0.286811186
65,NW,KCl 0.25,YPD,0.182088903
66,NW,KCl 0.25,YPD,0.211148703
67,NW,KCl 0.25,YPD,0.201249671
68,NW,KCl 0.25,YPD,0.211148703
69,NW,KCl 0.25,YPD,0.355836159
70,NW,KCl 0.25,YPD,0.355836159
71,NW,KCl 0.25,YPD,0.390806526
72,NW,KCl 0.25,YPD,0.408509662
73,NW,KCl 0.25,YPD,0.460597547
74,NW,KCl 0.25,YPD,0.423600275
75,NW,KCl 0.25,YPD,0.423715642
76,NW,KCl 0.25,YPD,0.559203575
77,NW,KCl 0.25,YPD,0.29167271
78,NW,KCl 0.25,YPD,0.257869597
79,NW,KCl 0.25,YPD,0.248505469
80,NW,KCl 0.25,YPD,0.22161902
81,W,KCl 0.5,YPD,0.465059098
82,W,KCl 0.5,YPD,0.390584949
83,W,KCl 0.5,YPD,0.42706813
84,W,KCl 0.5,YPD,0.48459985
85,W,KCl 0.5,YPD,0.371224219
86,W,KCl 0.5,YPD,0.479554213
87,W,KCl 0.5,YPD,0.424292715
88,W,KCl 0.5,YPD,0.518486719
89,W,KCl 0.5,YPD,0.257779598
90,W,KCl 0.5,YPD,0.164964544
91,W,KCl 0.5,YPD,0.267223624
92,W,KCl 0.5,YPD,0.257779598
93,W,KCl 0.5,YPD,0.32230331
94,W,KCl 0.5,YPD,0.296671624
95,W,KCl 0.5,YPD,0.276930815
96,W,KCl 0.5,YPD,0.296671624
97,NW,KCl 0.5,YPD,0.203722149
98,NW,KCl 0.5,YPD,0.221368768
99,NW,KCl 0.5,YPD,0.155109714
100,NW,KCl 0.5,YPD,0.172978452
101,NW,KCl 0.5,YPD,0.408736266
102,NW,KCl 0.5,YPD,0.390584949
103,NW,KCl 0.5,YPD,0.465059098
104,NW,KCl 0.5,YPD,0.484353109
105,NW,KCl 0.5,YPD,0.420031677
106,NW,KCl 0.5,YPD,0.547731685
107,NW,KCl 0.5,YPD,0.482135265
108,NW,KCl 0.5,YPD,0.534303724
109,NW,KCl 0.5,YPD,0.248682215
110,NW,KCl 0.5,YPD,0.239487969
111,NW,KCl 0.5,YPD,0.248593834
112,NW,KCl 0.5,YPD,0.239401238
113,W,KCl 1,YPD,0.200138016
114,W,KCl 1,YPD,0.2228724
115,W,KCl 1,YPD,0.178401694
116,W,KCl 1,YPD,0.192675969
117,W,KCl 1,YPD,0.386827753
118,W,KCl 1,YPD,0.445802119
119,W,KCl 1,YPD,0.409983709
120,W,KCl 1,YPD,0.321498809
121,W,KCl 1,YPD,0.518742005
122,W,KCl 1,YPD,0.371224219
123,W,KCl 1,YPD,0.32230331
124,W,KCl 1,YPD,0.442023151
125,W,KCl 1,YPD,0.316593177
126,W,KCl 1,YPD,0.286052301
127,W,KCl 1,YPD,0.276185125
128,W,KCl 1,YPD,0.295899796
129,NW,KCl 1,YPD,0.307976106
130,NW,KCl 1,YPD,0.255355563
131,NW,KCl 1,YPD,0.246917578
132,NW,KCl 1,YPD,0.2228724
133,NW,KCl 1,YPD,0.491037177
134,NW,KCl 1,YPD,0.465179979
135,NW,KCl 1,YPD,0.504416835
136,NW,KCl 1,YPD,0.546944902
137,NW,KCl 1,YPD,0.479554213
138,NW,KCl 1,YPD,0.454124689
139,NW,KCl 1,YPD,0.479431479
140,NW,KCl 1,YPD,0.45448309
141,NW,KCl 1,YPD,0.302979996
142,NW,KCl 1,YPD,0.27293455
